id,Title,Content,Post Type,Langues,Thématiques,Utilisateurs,Écoles,Status
2133,Un certificat médical peut-il excuser une absence?,"Non, en cas de problèmes de santé, seul un bulletin d'hospitalisation peut excuser une absence. Pour toute autre raison d'ordre médicale (rendez-vous, certificat médical) vous disposez d'un quota de 18 absences que vous pouvez utiliser comme vous le souhaitez. Pour <strong>Executive Education</strong> : - pour les apprenants hors contrats pro et hors contrats d'apprentissage : certificat médical autorisé - pour les apprenants en alternance (contrats pro et contrats d'apprentissage) : seul un arrêt de travail est valable. &nbsp;",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV|EXECUTIVE,publish
2134,Un rendez-vous médical peut-il excuser une absence?,"Non, en cas de problèmes de santé, seul un bulletin d'hospitalisation peut excuser une absence. Pour tout autre raisons d'ordre médicales (rendez-vous, certificat médical) vous disposez d'un quota de 18 absences que vous pouvez utiliser comme vous le souhaitez. Pour <strong>Executive Education</strong> : - Seul un bulletin d'hospitalisation peut excuser une absence pour RDV médical. Tout autre raison d'ordre médical (rendez-vous, certificat médical) vous disposez d'un quota de 10 demi-journées d'absences. &nbsp;",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV|EXECUTIVE,publish
2135,Quel est le quota d'absence autorisée par semestre?,"Vous disposez d'un quota de 18 absences autorisées par semestre. Au-delà, vous recevez un mail d'avertissement et un commentaire est inscrit sur votre bulletin. A la 29ème absence vous perdez la compensation entre les modules. A la 39ème absence, vous êtes convoqué en conseil de discipline. Pour <strong>Executive Education</strong> : Vous disposez d'un quota de 10 demi-journées d'absences autorisées pour l'année académique. Au-delà, vous recevrez un mail demandant de justifier vos absences et une convocation administrative vous sera transmise.",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV|EXECUTIVE,publish
2136,Quelle est la conséquence d'une évaluation lors d'une abence non excusée?,"Si vous avez une évaluation au moment d'une absence non-excusée par le règlement, la note de zéro vous est attribuée. Nous n'organisons pas d'épreuve de substitution.",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV,publish
2137,Quelle est la conséquence d'une évaluation lors d'une absence excusée?,"Si vous avez une évaluation au moment d'une absence excusée, aucun zéro n'est attribué. La note est neutralisée et la moyenne du module est calculée à partir des autres notes qui le composent.",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV,publish
2138,Un retard est-il compté comme une absence?,"Un retard équivaut à une absence et est comptabilisé comme telle. L'enseignant peut vous accepter en cours, s'il le souhaite afin que vous puissiez suivre mais l'absence est conservée.",question,Français,Scolarité>Absences,faculty|staff|student,ESILV,publish
2139,"J'ai oublié d'émarger, comment puis-je régulariser mon absence?","Nous tenons à responsabiliser les étudiants. Ainsi, si vous oubliez d'émarger, vous conservez l'absence sans aucune possibilité de régularisation.",question,Français,Scolarité>Absences,faculty|staff|student,ESILV|EXECUTIVE,publish
2140,Quelles sont les absences excusées pour les apprentis ?,"Aucune absence n'est excusée par le règlement pour les apprentis. Vous êtes salarié, en ce sens, les mêmes règles s'appliquent que celles en vigueur dans le monde de l'entreprise à savoir en cas d'absence, vous devrez présentez un arrêt de travail. &nbsp;",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV|EXECUTIVE,publish
2141,Quelle est la procédure pour déposer un justificatif?,"Lorsque vous êtes connecté à votre plateforme, vous devez allez dans l'onglet ""scolarité"" et sélectionner ""absences"" puis ""ajouter un justificatif d'abence"".",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV|EXECUTIVE,publish
2142,Quel seuil d'absence entraine la perte de compensation?,"A la 29 ème absence du semestre, vous perdez les compensations entre les modules.",question,Français,Scolarité>Absences,faculty|staff|student,EMLV|ESILV,publish
